order_id,customer_id,email,first_name,created_at,financial_status,fulfillment_status,currency,subtotal_price,total_discounts,total_shipping_price,total_price,product_title,product_category,billing_city,billing_country,billing_country_code,source_name,source_medium,tags
#2171,CUST00520,customer520@example.com,Customer520,2023-10-03 00:00:00,paid,fulfilled,USD,152.05,22.81,9.99,139.23,Wireless Earbuds,Electronics,New York,United States,US,facebook,cpc,
#6171,CUST02306,customer2306@example.com,Customer2306,2023-10-03 00:00:00,paid,fulfilled,USD,79.68,0.0,9.99,89.67,Ceramic Pour-Over Set,Home & Living,Nairobi,Kenya,KE,facebook,cpc,
#1338,CUST00151,customer151@example.com,Customer151,2023-10-03 00:00:00,paid,fulfilled,USD,57.19,0.0,9.99,67.18,Wireless Earbuds,Electronics,Mombasa,Kenya,KE,google,cpc,
#4889,CUST01737,customer1737@example.com,Customer1737,2023-10-04 00:00:00,paid,fulfilled,USD,91.41,13.71,4.99,82.69,Hair Growth Oil 100ml,Beauty & Skincare,Nairobi,Kenya,KE,direct,none,
#4177,CUST01419,customer1419@example.com,Customer1419,2023-10-04 00:00:00,paid,fulfilled,USD,58.79,0.0,0.0,58.79,Bamboo Cutting Board,Home & Living,Nairobi,Kenya,KE,organic,organic,
#4867,CUST01727,customer1727@example.com,Customer1727,2023-10-04 00:00:00,paid,fulfilled,USD,52.23,7.83,9.99,54.39,Yoga Mat Pro,Sports & Fitness,Nairobi,Kenya,KE,instagram,social,
#2874,CUST00827,customer827@example.com,Customer827,2023-10-04 00:00:00,paid,fulfilled,USD,39.49,5.92,4.99,38.56,Hair Growth Oil 100ml,Beauty & Skincare,Dar es Salaam,Tanzania,TZ,facebook,cpc,
#2446,CUST00636,customer636@example.com,Customer636,2023-10-04 00:00:00,paid,fulfilled,USD,26.9,0.0,9.99,36.89,Phone Stand Adjustable,Electronics,Nairobi,Kenya,KE,organic,organic,
#6359,CUST02397,customer2397@example.com,Customer2397,2023-10-04 00:00:00,paid,fulfilled,USD,43.72,6.56,0.0,37.16,Leather Belt,Clothing & Apparel,Nairobi,Kenya,KE,tiktok,social,
#6297,CUST02366,customer2366@example.com,Customer2366,2023-10-04 00:00:00,paid,fulfilled,USD,107.72,0.0,4.99,112.71,Printed Silk Scarf,Clothing & Apparel,Nairobi,Kenya,KE,facebook,cpc,
#2613,CUST00712,customer712@example.com,Customer712,2023-10-04 00:00:00,paid,fulfilled,USD,61.2,0.0,0.0,61.2,Leather Belt,Clothing & Apparel,Mombasa,Kenya,KE,google,cpc,
#1839,CUST00372,customer372@example.com,Customer372,2023-10-04 00:00:00,paid,unfulfilled,USD,55.7,0.0,4.99,60.69,Portable Charger 10000mAh,Electronics,Johannesburg,South Africa,ZA,direct,none,
#5509,CUST02013,customer2013@example.com,Customer2013,2023-10-04 00:00:00,paid,unfulfilled,USD,73.55,0.0,4.99,78.54,Face Serum Vitamin C,Beauty & Skincare,Nairobi,Kenya,KE,direct,none,
#3058,CUST00915,customer915@example.com,Customer915,2023-10-04 00:00:00,paid,fulfilled,USD,277.18,0.0,4.99,282.17,Running Shoes,Sports & Fitness,Nairobi,Kenya,KE,google,cpc,
#5887,CUST02178,customer2178@example.com,Customer2178,2023-10-04 00:00:00,paid,fulfilled,USD,94.72,0.0,0.0,94.72,Wireless Earbuds,Electronics,Dar es Salaam,Tanzania,TZ,google,cpc,
#6336,CUST02384,customer2384@example.com,Customer2384,2023-10-04 00:00:00,paid,fulfilled,USD,33.82,0.0,4.99,38.81,Resistance Band Set,Sports & Fitness,Dar es Salaam,Tanzania,TZ,instagram,social,
#1554,CUST00245,customer245@example.com,Customer245,2023-10-05 00:00:00,paid,fulfilled,USD,52.27,7.84,6.99,51.42,Hair Growth Oil 100ml,Beauty & Skincare,Nairobi,Kenya,KE,google,cpc,
#5398,CUST01965,customer1965@example.com,Customer1965,2023-10-05 00:00:00,paid,fulfilled,USD,71.26,0.0,4.99,76.25,Linen Throw Pillow,Home & Living,Johannesburg,South Africa,ZA,tiktok,social,
#4848,CUST01720,customer1720@example.com,Customer1720,2023-10-05 00:00:00,paid,fulfilled,USD,40.8,6.12,6.99,41.67,Lip Balm Set,Beauty & Skincare,Kampala,Uganda,UG,direct,none,
#4726,CUST01663,customer1663@example.com,Customer1663,2023-10-05 00:00:00,paid,fulfilled,USD,59.85,0.0,0.0,59.85,Phone Stand Adjustable,Electronics,Nairobi,Kenya,KE,organic,organic,
#1517,CUST00232,customer232@example.com,Customer232,2023-10-05 00:00:00,paid,fulfilled,USD,41.07,0.0,4.99,46.06,Leather Belt,Clothing & Apparel,Johannesburg,South Africa,ZA,google,cpc,
#4693,CUST01649,customer1649@example.com,Customer1649,2023-10-05 00:00:00,paid,unfulfilled,USD,90.48,13.57,0.0,76.91,Running Shoes,Sports & Fitness,Nairobi,Kenya,KE,direct,none,
#1645,CUST00286,customer286@example.com,Customer286,2023-10-06 00:00:00,paid,fulfilled,USD,29.08,0.0,0.0,29.08,Resistance Band Set,Sports & Fitness,Nairobi,Kenya,KE,facebook,cpc,
#6265,CUST02350,customer2350@example.com,Customer2350,2023-10-06 00:00:00,paid,fulfilled,USD,23.74,0.0,9.99,33.73,Water Bottle 1L,Sports & Fitness,Nairobi,Kenya,KE,facebook,cpc,
#1357,CUST00160,customer160@example.com,Customer160,2023-10-06 00:00:00,paid,fulfilled,USD,18.44,0.0,6.99,25.43,Water Bottle 1L,Sports & Fitness,London,United Kingdom,GB,email,email,
#2224,CUST00541,customer541@example.com,Customer541,2023-10-06 00:00:00,paid,fulfilled,USD,19.94,2.99,4.99,21.94,Phone Stand Adjustable,Electronics,London,United Kingdom,GB,facebook,cpc,
#6123,CUST02287,customer2287@example.com,Customer2287,2023-10-06 00:00:00,paid,fulfilled,USD,74.3,0.0,4.99,79.29,Wireless Earbuds,Electronics,Lagos,Nigeria,NG,organic,organic,
#4439,CUST01536,customer1536@example.com,Customer1536,2023-10-06 00:00:00,paid,fulfilled,USD,43.88,6.58,9.99,47.29,Moisturiser SPF 50,Beauty & Skincare,Kampala,Uganda,UG,google,cpc,
#4155,CUST01411,customer1411@example.com,Customer1411,2023-10-07 00:00:00,paid,fulfilled,USD,67.63,0.0,4.99,72.62,Ceramic Pour-Over Set,Home & Living,Kampala,Uganda,UG,facebook,cpc,
#1213,CUST00098,customer98@example.com,Customer98,2023-10-07 00:00:00,paid,fulfilled,USD,46.68,7.0,9.99,49.67,Water Bottle 1L,Sports & Fitness,Kampala,Uganda,UG,google,cpc,
#3408,CUST01072,customer1072@example.com,Customer1072,2023-10-07 00:00:00,paid,fulfilled,USD,84.66,0.0,6.99,91.65,Ceramic Pour-Over Set,Home & Living,Mombasa,Kenya,KE,organic,organic,
#1154,CUST00074,customer74@example.com,Customer74,2023-10-07 00:00:00,paid,fulfilled,USD,15.24,2.29,0.0,12.95,USB-C Cable 3-Pack,Electronics,Johannesburg,South Africa,ZA,direct,none,
#4254,CUST01455,customer1455@example.com,Customer1455,2023-10-07 00:00:00,paid,fulfilled,USD,46.43,0.0,0.0,46.43,Bamboo Cutting Board,Home & Living,Johannesburg,South Africa,ZA,instagram,social,
#2755,CUST00776,customer776@example.com,Customer776,2023-10-07 00:00:00,paid,fulfilled,USD,19.63,0.0,6.99,26.62,Lip Balm Set,Beauty & Skincare,Nairobi,Kenya,KE,google,cpc,
#1973,CUST00434,customer434@example.com,Customer434,2023-10-07 00:00:00,paid,fulfilled,USD,81.23,0.0,0.0,81.23,Face Serum Vitamin C,Beauty & Skincare,Johannesburg,South Africa,ZA,facebook,cpc,
#4622,CUST01620,customer1620@example.com,Customer1620,2023-10-07 00:00:00,paid,fulfilled,USD,91.72,0.0,0.0,91.72,Wireless Earbuds,Electronics,Accra,Ghana,GH,direct,none,
#5477,CUST01999,customer1999@example.com,Customer1999,2023-10-08 00:00:00,paid,fulfilled,USD,69.62,0.0,6.99,76.61,Printed Silk Scarf,Clothing & Apparel,Lagos,Nigeria,NG,facebook,cpc,
#1284,CUST00128,customer128@example.com,Customer128,2023-10-08 00:00:00,paid,fulfilled,USD,33.16,0.0,4.99,38.15,Water Bottle 1L,Sports & Fitness,Johannesburg,South Africa,ZA,tiktok,social,
#5098,CUST01829,customer1829@example.com,Customer1829,2023-10-08 00:00:00,paid,fulfilled,USD,46.93,7.04,4.99,44.88,Bamboo Cutting Board,Home & Living,London,United Kingdom,GB,organic,organic,
#2677,CUST00740,customer740@example.com,Customer740,2023-10-08 00:00:00,paid,fulfilled,USD,40.92,6.14,4.99,39.77,Hair Growth Oil 100ml,Beauty & Skincare,Kampala,Uganda,UG,email,email,
#7293,CUST02802,customer2802@example.com,Customer2802,2023-10-08 00:00:00,paid,fulfilled,USD,49.88,0.0,4.99,54.87,Leather Belt,Clothing & Apparel,London,United Kingdom,GB,google,cpc,
#3158,CUST00960,customer960@example.com,Customer960,2023-10-08 00:00:00,paid,fulfilled,USD,23.3,0.0,4.99,28.29,Lip Balm Set,Beauty & Skincare,Kampala,Uganda,UG,facebook,cpc,
#6727,CUST02549,customer2549@example.com,Customer2549,2023-10-08 00:00:00,paid,fulfilled,USD,118.74,0.0,9.99,128.73,Leather Belt,Clothing & Apparel,London,United Kingdom,GB,tiktok,social,
#3263,CUST01003,customer1003@example.com,Customer1003,2023-10-08 00:00:00,paid,fulfilled,USD,71.38,10.71,0.0,60.67,Face Serum Vitamin C,Beauty & Skincare,Nairobi,Kenya,KE,organic,organic,
#7280,CUST02796,customer2796@example.com,Customer2796,2023-10-09 00:00:00,paid,fulfilled,USD,66.23,0.0,4.99,71.22,Moisturiser SPF 50,Beauty & Skincare,Mombasa,Kenya,KE,google,cpc,
#5803,CUST02139,customer2139@example.com,Customer2139,2023-10-09 00:00:00,paid,fulfilled,USD,113.28,0.0,9.99,123.27,Wireless Earbuds,Electronics,Kampala,Uganda,UG,google,cpc,
#4592,CUST01603,customer1603@example.com,Customer1603,2023-10-09 00:00:00,paid,fulfilled,USD,39.98,6.0,0.0,33.98,Moisturiser SPF 50,Beauty & Skincare,Kampala,Uganda,UG,direct,none,
#1889,CUST00394,customer394@example.com,Customer394,2023-10-09 00:00:00,paid,fulfilled,USD,83.67,12.55,0.0,71.12,Ceramic Pour-Over Set,Home & Living,New York,United States,US,tiktok,social,
#2546,CUST00683,customer683@example.com,Customer683,2023-10-10 00:00:00,paid,fulfilled,USD,19.8,0.0,9.99,29.79,Phone Stand Adjustable,Electronics,Accra,Ghana,GH,google,cpc,
#2037,CUST00461,customer461@example.com,Customer461,2023-10-10 00:00:00,paid,fulfilled,USD,206.01,0.0,0.0,206.01,Wireless Earbuds,Electronics,Nairobi,Kenya,KE,organic,organic,
#3864,CUST01283,customer1283@example.com,Customer1283,2023-10-10 00:00:00,paid,fulfilled,USD,129.73,19.46,0.0,110.27,Face Serum Vitamin C,Beauty & Skincare,Dar es Salaam,Tanzania,TZ,google,cpc,
#3110,CUST00940,customer940@example.com,Customer940,2023-10-10 00:00:00,paid,fulfilled,USD,108.91,0.0,9.99,118.9,Wireless Earbuds,Electronics,Lagos,Nigeria,NG,instagram,social,
#3464,CUST01097,customer1097@example.com,Customer1097,2023-10-11 00:00:00,paid,fulfilled,USD,57.35,0.0,0.0,57.35,Face Serum Vitamin C,Beauty & Skincare,Nairobi,Kenya,KE,tiktok,social,
#3439,CUST01085,customer1085@example.com,Customer1085,2023-10-11 00:00:00,paid,fulfilled,USD,23.36,3.5,6.99,26.85,USB-C Cable 3-Pack,Electronics,Dubai,United Arab Emirates,AE,facebook,cpc,
#3403,CUST01070,customer1070@example.com,Customer1070,2023-10-11 00:00:00,paid,fulfilled,USD,97.18,0.0,0.0,97.18,Linen Throw Pillow,Home & Living,Nairobi,Kenya,KE,facebook,cpc,
#3500,CUST01112,customer1112@example.com,Customer1112,2023-10-11 00:00:00,paid,unfulfilled,USD,45.1,0.0,4.99,50.09,Hair Growth Oil 100ml,Beauty & Skincare,Dubai,United Arab Emirates,AE,email,email,
#6691,CUST02534,customer2534@example.com,Customer2534,2023-10-11 00:00:00,paid,fulfilled,USD,66.06,0.0,6.99,73.05,Hair Growth Oil 100ml,Beauty & Skincare,New York,United States,US,organic,organic,
#2218,CUST00539,customer539@example.com,Customer539,2023-10-11 00:00:00,paid,fulfilled,USD,19.3,0.0,0.0,19.3,Water Bottle 1L,Sports & Fitness,Johannesburg,South Africa,ZA,email,email,
#7301,CUST02805,customer2805@example.com,Customer2805,2023-10-11 00:00:00,paid,unfulfilled,USD,81.09,0.0,9.99,91.08,Face Serum Vitamin C,Beauty & Skincare,Nairobi,Kenya,KE,email,email,
#4548,CUST01586,customer1586@example.com,Customer1586,2023-10-12 00:00:00,paid,fulfilled,USD,60.94,9.14,9.99,61.79,Printed Silk Scarf,Clothing & Apparel,Lagos,Nigeria,NG,organic,organic,
#1661,CUST00293,customer293@example.com,Customer293,2023-10-12 00:00:00,paid,fulfilled,USD,54.1,8.12,6.99,52.97,Leather Belt,Clothing & Apparel,Nairobi,Kenya,KE,organic,organic,
#4328,CUST01488,customer1488@example.com,Customer1488,2023-10-12 00:00:00,paid,fulfilled,USD,27.24,4.09,9.99,33.14,Phone Stand Adjustable,Electronics,London,United Kingdom,GB,organic,organic,
#6063,CUST02255,customer2255@example.com,Customer2255,2023-10-12 00:00:00,paid,fulfilled,USD,60.5,0.0,6.99,67.49,Ceramic Pour-Over Set,Home & Living,Mombasa,Kenya,KE,tiktok,social,
#6590,CUST02498,customer2498@example.com,Customer2498,2023-10-12 00:00:00,paid,fulfilled,USD,107.71,0.0,0.0,107.71,Running Shoes,Sports & Fitness,Nairobi,Kenya,KE,organic,organic,
#3594,CUST01156,customer1156@example.com,Customer1156,2023-10-12 00:00:00,paid,fulfilled,USD,72.27,0.0,0.0,72.27,Bamboo Cutting Board,Home & Living,Johannesburg,South Africa,ZA,tiktok,social,
#6164,CUST02304,customer2304@example.com,Customer2304,2023-10-12 00:00:00,paid,fulfilled,USD,20.38,0.0,0.0,20.38,Water Bottle 1L,Sports & Fitness,Johannesburg,South Africa,ZA,direct,none,
#3881,CUST01290,customer1290@example.com,Customer1290,2023-10-12 00:00:00,paid,fulfilled,USD,59.47,8.92,0.0,50.55,Moisturiser SPF 50,Beauty & Skincare,New York,United States,US,organic,organic,
#3643,CUST01184,customer1184@example.com,Customer1184,2023-10-12 00:00:00,paid,fulfilled,USD,56.5,8.47,9.99,58.02,Water Bottle 1L,Sports & Fitness,London,United Kingdom,GB,facebook,cpc,
#6411,CUST02420,customer2420@example.com,Customer2420,2023-10-12 00:00:00,paid,fulfilled,USD,35.94,5.39,6.99,37.54,Leather Belt,Clothing & Apparel,Accra,Ghana,GH,facebook,cpc,
#2616,CUST00713,customer713@example.com,Customer713,2023-10-12 00:00:00,paid,fulfilled,USD,30.52,0.0,0.0,30.52,Scented Soy Candle,Home & Living,Nairobi,Kenya,KE,facebook,cpc,
#1954,CUST00425,customer425@example.com,Customer425,2023-10-12 00:00:00,paid,fulfilled,USD,91.18,0.0,0.0,91.18,Wireless Earbuds,Electronics,London,United Kingdom,GB,instagram,social,
#7388,CUST02841,customer2841@example.com,Customer2841,2023-10-13 00:00:00,paid,fulfilled,USD,16.19,0.0,0.0,16.19,Lip Balm Set,Beauty & Skincare,New York,United States,US,google,cpc,
#3614,CUST01167,customer1167@example.com,Customer1167,2023-10-13 00:00:00,paid,fulfilled,USD,34.63,0.0,0.0,34.63,Resistance Band Set,Sports & Fitness,Nairobi,Kenya,KE,organic,organic,
#2543,CUST00682,customer682@example.com,Customer682,2023-10-13 00:00:00,paid,fulfilled,USD,73.39,0.0,0.0,73.39,Ceramic Pour-Over Set,Home & Living,Kampala,Uganda,UG,tiktok,social,
#1425,CUST00195,customer195@example.com,Customer195,2023-10-13 00:00:00,paid,fulfilled,USD,162.09,0.0,0.0,162.09,Printed Silk Scarf,Clothing & Apparel,Dar es Salaam,Tanzania,TZ,organic,organic,
#5393,CUST01963,customer1963@example.com,Customer1963,2023-10-13 00:00:00,paid,fulfilled,USD,43.27,0.0,0.0,43.27,Bamboo Cutting Board,Home & Living,Nairobi,Kenya,KE,instagram,social,
#7091,CUST02713,customer2713@example.com,Customer2713,2023-10-13 00:00:00,paid,fulfilled,USD,45.97,0.0,6.99,52.96,Hair Growth Oil 100ml,Beauty & Skincare,Dubai,United Arab Emirates,AE,facebook,cpc,
#6797,CUST02579,customer2579@example.com,Customer2579,2023-10-13 00:00:00,paid,fulfilled,USD,93.1,0.0,0.0,93.1,Moisturiser SPF 50,Beauty & Skincare,Dar es Salaam,Tanzania,TZ,tiktok,social,
#1347,CUST00155,customer155@example.com,Customer155,2023-10-13 00:00:00,paid,fulfilled,USD,64.43,0.0,6.99,71.42,Hair Growth Oil 100ml,Beauty & Skincare,Mombasa,Kenya,KE,instagram,social,
#3677,CUST01200,customer1200@example.com,Customer1200,2023-10-14 00:00:00,paid,fulfilled,USD,31.03,0.0,0.0,31.03,Phone Stand Adjustable,Electronics,Dar es Salaam,Tanzania,TZ,instagram,social,
#4681,CUST01643,customer1643@example.com,Customer1643,2023-10-14 00:00:00,paid,fulfilled,USD,85.92,12.89,0.0,73.03,Linen Throw Pillow,Home & Living,New York,United States,US,organic,organic,
#1617,CUST00274,customer274@example.com,Customer274,2023-10-14 00:00:00,paid,fulfilled,USD,95.28,0.0,9.99,105.27,Linen Throw Pillow,Home & Living,Mombasa,Kenya,KE,facebook,cpc,
#4481,CUST01554,customer1554@example.com,Customer1554,2023-10-14 00:00:00,paid,fulfilled,USD,48.4,7.26,4.99,46.13,Hair Growth Oil 100ml,Beauty & Skincare,Accra,Ghana,GH,instagram,social,
#3728,CUST01222,customer1222@example.com,Customer1222,2023-10-14 00:00:00,paid,fulfilled,USD,46.08,0.0,0.0,46.08,Hair Growth Oil 100ml,Beauty & Skincare,Dar es Salaam,Tanzania,TZ,organic,organic,
#6009,CUST02229,customer2229@example.com,Customer2229,2023-10-14 00:00:00,paid,fulfilled,USD,37.71,0.0,0.0,37.71,Lip Balm Set,Beauty & Skincare,Nairobi,Kenya,KE,organic,organic,
#6608,CUST02506,customer2506@example.com,Customer2506,2023-10-15 00:00:00,paid,fulfilled,USD,108.66,0.0,0.0,108.66,Wireless Earbuds,Electronics,Nairobi,Kenya,KE,organic,organic,
#2451,CUST00638,customer638@example.com,Customer638,2023-10-15 00:00:00,paid,fulfilled,USD,56.02,0.0,0.0,56.02,Yoga Mat Pro,Sports & Fitness,London,United Kingdom,GB,organic,organic,
#4997,CUST01785,customer1785@example.com,Customer1785,2023-10-15 00:00:00,paid,fulfilled,USD,39.15,0.0,9.99,49.14,Moisturiser SPF 50,Beauty & Skincare,Nairobi,Kenya,KE,organic,organic,
#1718,CUST00322,customer322@example.com,Customer322,2023-10-15 00:00:00,paid,fulfilled,USD,29.16,0.0,9.99,39.15,Scented Soy Candle,Home & Living,Accra,Ghana,GH,instagram,social,
#3005,CUST00892,customer892@example.com,Customer892,2023-10-15 00:00:00,paid,fulfilled,USD,45.26,6.79,0.0,38.47,Linen Wide-Leg Trousers,Clothing & Apparel,Nairobi,Kenya,KE,google,cpc,
#4470,CUST01550,customer1550@example.com,Customer1550,2023-10-15 00:00:00,paid,unfulfilled,USD,72.56,0.0,9.99,82.55,Linen Wide-Leg Trousers,Clothing & Apparel,New York,United States,US,instagram,social,
#3794,CUST01251,customer1251@example.com,Customer1251,2023-10-16 00:00:00,paid,fulfilled,USD,70.47,0.0,9.99,80.46,Printed Silk Scarf,Clothing & Apparel,London,United Kingdom,GB,organic,organic,
#5205,CUST01873,customer1873@example.com,Customer1873,2023-10-16 00:00:00,paid,fulfilled,USD,29.81,0.0,9.99,39.8,Water Bottle 1L,Sports & Fitness,Lagos,Nigeria,NG,direct,none,
#2727,CUST00760,customer760@example.com,Customer760,2023-10-16 00:00:00,paid,fulfilled,USD,19.21,0.0,0.0,19.21,Water Bottle 1L,Sports & Fitness,Johannesburg,South Africa,ZA,email,email,
#2773,CUST00783,customer783@example.com,Customer783,2023-10-16 00:00:00,paid,fulfilled,USD,107.97,0.0,0.0,107.97,Printed Silk Scarf,Clothing & Apparel,Nairobi,Kenya,KE,direct,none,
#2491,CUST00657,customer657@example.com,Customer657,2023-10-17 00:00:00,paid,fulfilled,USD,27.73,4.16,9.99,33.56,Oversized Cotton Tee,Clothing & Apparel,Lagos,Nigeria,NG,direct,none,
#3360,CUST01046,customer1046@example.com,Customer1046,2023-10-17 00:00:00,paid,fulfilled,USD,53.67,8.05,0.0,45.62,Moisturiser SPF 50,Beauty & Skincare,Nairobi,Kenya,KE,google,cpc,
#5626,CUST02062,customer2062@example.com,Customer2062,2023-10-17 00:00:00,paid,fulfilled,USD,40.41,6.06,9.99,44.34,Linen Throw Pillow,Home & Living,Nairobi,Kenya,KE,instagram,social,
#6967,CUST02652,customer2652@example.com,Customer2652,2023-10-17 00:00:00,paid,fulfilled,USD,20.25,0.0,9.99,30.24,USB-C Cable 3-Pack,Electronics,Dar es Salaam,Tanzania,TZ,email,email,
#6881,CUST02616,customer2616@example.com,Customer2616,2023-10-17 00:00:00,paid,fulfilled,USD,17.65,2.65,4.99,19.99,USB-C Cable 3-Pack,Electronics,Nairobi,Kenya,KE,organic,organic,
#1924,CUST00409,customer409@example.com,Customer409,2023-10-17 00:00:00,paid,fulfilled,USD,43.56,6.53,4.99,42.02,Linen Throw Pillow,Home & Living,Nairobi,Kenya,KE,organic,organic,
#3669,CUST01196,customer1196@example.com,Customer1196,2023-10-17 00:00:00,paid,fulfilled,USD,28.29,4.24,0.0,24.05,Hair Growth Oil 100ml,Beauty & Skincare,Nairobi,Kenya,KE,organic,organic,
#6401,CUST02415,customer2415@example.com,Customer2415,2023-10-18 00:00:00,paid,fulfilled,USD,159.79,0.0,0.0,159.79,Yoga Mat Pro,Sports & Fitness,Accra,Ghana,GH,google,cpc,
#3150,CUST00958,customer958@example.com,Customer958,2023-10-18 00:00:00,paid,fulfilled,USD,61.07,0.0,6.99,68.06,Hair Growth Oil 100ml,Beauty & Skincare,Dar es Salaam,Tanzania,TZ,organic,organic,
#4824,CUST01708,customer1708@example.com,Customer1708,2023-10-18 00:00:00,paid,fulfilled,USD,183.62,0.0,0.0,183.62,Running Shoes,Sports & Fitness,New York,United States,US,google,cpc,
#5075,CUST01819,customer1819@example.com,Customer1819,2023-10-18 00:00:00,paid,fulfilled,USD,44.3,0.0,9.99,54.29,Leather Belt,Clothing & Apparel,Dar es Salaam,Tanzania,TZ,google,cpc,
#2286,CUST00565,customer565@example.com,Customer565,2023-10-18 00:00:00,paid,fulfilled,USD,93.29,13.99,4.99,84.29,Moisturiser SPF 50,Beauty & Skincare,Dar es Salaam,Tanzania,TZ,organic,organic,
#4148,CUST01408,customer1408@example.com,Customer1408,2023-10-18 00:00:00,paid,fulfilled,USD,88.43,0.0,6.99,95.42,Printed Silk Scarf,Clothing & Apparel,Nairobi,Kenya,KE,direct,none,
#3272,CUST01007,customer1007@example.com,Customer1007,2023-10-18 00:00:00,paid,fulfilled,USD,29.42,0.0,6.99,36.41,Bamboo Cutting Board,Home & Living,Dar es Salaam,Tanzania,TZ,email,email,
#2600,CUST00706,customer706@example.com,Customer706,2023-10-18 00:00:00,paid,fulfilled,USD,130.66,19.6,4.99,116.05,Linen Wide-Leg Trousers,Clothing & Apparel,Nairobi,Kenya,KE,direct,none,
#4400,CUST01520,customer1520@example.com,Customer1520,2023-10-19 00:00:00,paid,fulfilled,USD,67.03,10.05,4.99,61.97,Phone Stand Adjustable,Electronics,Nairobi,Kenya,KE,google,cpc,
#2847,CUST00813,customer813@example.com,Customer813,2023-10-19 00:00:00,paid,fulfilled,USD,24.3,0.0,0.0,24.3,Phone Stand Adjustable,Electronics,Kampala,Uganda,UG,tiktok,social,
#4220,CUST01440,customer1440@example.com,Customer1440,2023-10-19 00:00:00,paid,fulfilled,USD,24.88,0.0,0.0,24.88,Scented Soy Candle,Home & Living,Nairobi,Kenya,KE,organic,organic,
#3391,CUST01063,customer1063@example.com,Customer1063,2023-10-19 00:00:00,paid,fulfilled,USD,39.55,0.0,0.0,39.55,Hair Growth Oil 100ml,Beauty & Skincare,Dar es Salaam,Tanzania,TZ,instagram,social,
#2758,CUST00778,customer778@example.com,Customer778,2023-10-19 00:00:00,paid,fulfilled,USD,30.25,0.0,9.99,40.24,Bamboo Cutting Board,Home & Living,Mombasa,Kenya,KE,instagram,social,
#1463,CUST00210,customer210@example.com,Customer210,2023-10-20 00:00:00,paid,fulfilled,USD,107.94,0.0,0.0,107.94,Ceramic Pour-Over Set,Home & Living,Johannesburg,South Africa,ZA,google,cpc,
#3180,CUST00971,customer971@example.com,Customer971,2023-10-20 00:00:00,paid,fulfilled,USD,29.23,0.0,0.0,29.23,Scented Soy Candle,Home & Living,Dar es Salaam,Tanzania,TZ,google,cpc,
#4434,CUST01534,customer1534@example.com,Customer1534,2023-10-20 00:00:00,paid,fulfilled,USD,100.86,0.0,0.0,100.86,Printed Silk Scarf,Clothing & Apparel,New York,United States,US,google,cpc,
#4234,CUST01447,customer1447@example.com,Customer1447,2023-10-20 00:00:00,paid,fulfilled,USD,66.15,0.0,0.0,66.15,Linen Wide-Leg Trousers,Clothing & Apparel,Johannesburg,South Africa,ZA,organic,organic,
